law,section,punishment,next_steps,keywords
Code of Civil Procedure (CPC),Section 20 - Other suits to be instituted where defendants reside or cause of action arises,Punishment not explicitly available in imported source text.,1. Identify proper legal forum and remedy. 2. Preserve documentary evidence. 3. Consult lawyer for case strategy.,civil procedure cpc other suits instituted where defendants reside cause action arises subject limitations aforesaid every suit court within local limits whose jurisdiction defendant each
Code of Civil Procedure (CPC),Section 21 - Objections to jurisdiction,Punishment not explicitly available in imported source text.,1. Identify proper legal forum and remedy. 2. Preserve documentary evidence. 3. Consult lawyer for case strategy.,civil procedure cpc objections jurisdiction objection place suing allowed appellate revisional court unless such taken first instance earliest possible opportunity cases where issues settled before
Code of Civil Procedure (CPC),Section 21A. - Baron suit to set aside decree on objection as to place of suing,Punishment not explicitly available in imported source text.,1. Identify proper legal forum and remedy. 2. Preserve documentary evidence. 3. Consult lawyer for case strategy.,civil procedure cpc 21a baron suit set aside decree objection place suing bar lie challenging validity passed former between same parties whom claim litigating title
Code of Civil Procedure (CPC),Section 22 - Power to transfer suits which may be instituted in more than one Court,Punishment not explicitly available in imported source text.,1. Identify proper legal forum and remedy. 2. Preserve documentary evidence. 3. Consult lawyer for case strategy.,civil procedure cpc power transfer suits which instituted more than one court where suit two courts such defendant after notice other parties earliest possible opportunity
Code of Civil Procedure (CPC),Section 23 - To what Court application lies,Punishment not explicitly available in imported source text.,1. Identify proper legal forum and remedy. 2. Preserve documentary evidence. 3. Consult lawyer for case strategy.,civil procedure cpc what court application lies where several courts having jurisdiction subordinate same appellate made such different but high said within local limits whose
Code of Civil Procedure (CPC),Section 24 - General power of transfer and withdrawal,Punishment not explicitly available in imported source text.,1. Identify proper legal forum and remedy. 2. Preserve documentary evidence. 3. Consult lawyer for case strategy.,civil procedure cpc general power transfer withdrawal application parties after notice hearing such desired heard own motion without high court district stage suit appeal other
Code of Civil Procedure (CPC),"Section 25 - Power of Supreme Court to transfer suits, etc",Punishment not explicitly available in imported source text.,1. Identify proper legal forum and remedy. 2. Preserve documentary evidence. 3. Consult lawyer for case strategy.,civil procedure cpc power supreme court transfer suits etc application party after notice parties hearing such desire heard stage satisfied order expedient ends justice direct
Code of Civil Procedure (CPC),Section 26 - Institution of suits,Punishment not explicitly available in imported source text.,1. Identify proper legal forum and remedy. 2. Preserve documentary evidence. 3. Consult lawyer for case strategy.,civil procedure cpc institution suits every suit instituted presentation plaint such other manner prescribed facts proved affidavit provided form order rule 15a
Code of Civil Procedure (CPC),Section 27 - Summons to defendants,Punishment not explicitly available in imported source text.,1. Identify proper legal forum and remedy. 2. Preserve documentary evidence. 3. Consult lawyer for case strategy.,civil procedure cpc summons defendants where suit been duly instituted issued defendant appear answer claim served manner prescribed such day beyond thirty days date institution
Code of Civil Procedure (CPC),Section 28 - Service of summons where defendant resides in another State,Punishment not explicitly available in imported source text.,1. Identify proper legal forum and remedy. 2. Preserve documentary evidence. 3. Consult lawyer for case strategy.,civil procedure cpc service summons where defendant resides another state sent such court manner prescribed rules force which upon receipt thereof proceed been issued then
Code of Civil Procedure (CPC),Section 29 - Service of foreign summonses,Punishment not explicitly available in imported source text.,1. Identify proper legal forum and remedy. 2. Preserve documentary evidence. 3. Consult lawyer for case strategy.,civil procedure cpc service foreign summonses other processes issued revenue court established part india which provisions extend continued authority central government outside notification official gazette
Code of Civil Procedure (CPC),Section 3 - Subordination of Courts,Punishment not explicitly available in imported source text.,1. Identify proper legal forum and remedy. 2. Preserve documentary evidence. 3. Consult lawyer for case strategy.,civil procedure cpc subordination courts purposes district court subordinate high every grade inferior small causes
Code of Civil Procedure (CPC),Section 30 - Power to order discovery and the like,Punishment not explicitly available in imported source text.,1. Identify proper legal forum and remedy. 2. Preserve documentary evidence. 3. Consult lawyer for case strategy.,civil procedure cpc power order discovery like subject such conditions limitations prescribed court time either own motion application party make orders necessary reasonable matters relating
